1557 東証ETF SPDR S&P500  ETF（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","26620","26830","26310","26780","7665","26780"
"2019-01-07","27710","27790","27450","27520","1568","27520"
"2019-01-08","27800","28020","27760","27910","2051","27910"
"2019-01-09","27960","28300","27960","28210","2557","28210"
"2019-01-10","28050","28050","27600","27830","7270","27830"
"2019-01-11","28300","28300","27950","28150","1584","28150"
"2019-01-15","28100","28300","28080","28210","7142","28210"
"2019-01-16","28430","28430","28260","28300","936","28300"
"2019-01-17","28500","28900","28420","28420","966","28420"
"2019-01-18","28810","28940","28760","28830","1068","28830"
"2019-01-21","29280","29290","29150","29160","1937","29160"
"2019-01-22","29200","29250","29030","29120","2445","29120"
"2019-01-23","28850","29090","28830","28960","59639","28960"
"2019-01-24","29110","29110","28700","28870","1231","28870"
"2019-01-25","28900","29120","28780","29090","1096","29090"
"2019-01-28","29050","29050","28910","28960","1176","28960"
"2019-01-29","28790","28880","28660","28790","1107","28790"
"2019-01-30","28960","28960","28850","28860","592","28860"
"2019-01-31","28900","29290","28900","29190","3388","29190"
"2019-02-01","29380","29490","29360","29370","1492","29370"
"2019-02-04","29520","29700","29520","29630","2479","29630"
"2019-02-05","29850","29900","29800","29800","1246","29800"
"2019-02-06","29930","30050","29910","29910","1692","29910"
"2019-02-07","29950","29970","29780","29860","1086","29860"
"2019-02-08","29610","29640","29480","29560","1197","29560"
"2019-02-12","29850","30100","29830","30100","1719","30100"
"2019-02-13","30300","30450","30300","30400","2365","30400"
"2019-02-14","30450","30550","30400","30500","1546","30500"
"2019-02-15","30300","30300","30050","30150","2612","30150"
"2019-02-18","30650","30750","30600","30700","4964","30700"
"2019-02-19","30650","30750","30600","30750","752","30750"
"2019-02-20","30750","30850","30700","30700","2286","30700"
"2019-02-21","30750","31000","30750","30950","3451","30950"
"2019-02-22","30750","30750","30650","30750","854","30750"
"2019-02-25","30950","31050","30900","31000","2241","31000"
"2019-02-26","31050","31050","30800","30900","1018","30900"
"2019-02-27","30800","30900","30800","30900","664","30900"
"2019-02-28","30900","31000","30800","30800","1133","30800"
"2019-03-01","30950","31250","30950","31200","2415","31200"
"2019-03-04","31500","31550","31450","31500","2387","31500"
"2019-03-05","31250","31300","31150","31250","4434","31250"
"2019-03-06","31200","31200","31050","31100","1658","31100"
"2019-03-07","30950","30950","30850","30950","1867","30950"
"2019-03-08","30750","30750","30500","30500","2392","30500"
"2019-03-11","30500","30600","30350","30550","1459","30550"
"2019-03-12","31000","31150","31000","31050","1838","31050"
"2019-03-13","31050","31100","30950","31100","1449","31100"
"2019-03-14","31250","31350","31150","31200","8227","31200"
"2019-03-15","31200","31350","31200","31200","607","31200"
"2019-03-18","31250","31400","31200","31350","708","31350"
"2019-03-19","31450","31500","31350","31450","1776","31450"
"2019-03-20","31400","31450","31350","31400","657","31400"
"2019-03-22","31400","31500","31300","31500","2084","31500"
"2019-03-25","30650","30800","30400","30650","8610","30650"
"2019-03-26","30800","30900","30750","30800","1790","30800"
"2019-03-27","31150","31150","30900","31100","3961","31100"
"2019-03-28","30900","30900","30650","30750","1530","30750"
"2019-03-29","31000","31200","31000","31100","1647","31100"
"2019-04-01","31250","31600","31250","31550","3577","31550"
"2019-04-02","31700","31750","31600","31600","8361","31600"
"2019-04-03","31650","32000","31600","31950","5580","31950"
"2019-04-04","31950","31950","31850","31850","959","31850"
"2019-04-05","31950","32050","31950","32050","2675","32050"
"2019-04-08","32150","32200","31950","32000","4823","32000"
"2019-04-09","32000","32150","32000","32050","5099","32050"
"2019-04-10","31850","32000","31850","31850","2985","31850"
"2019-04-11","32100","32100","31950","32000","4179","32000"
"2019-04-12","32100","32250","32100","32150","3408","32150"
"2019-04-15","32500","32500","32350","32400","5303","32400"
"2019-04-16","32450","32500","32350","32350","2040","32350"
"2019-04-17","32400","32550","32400","32500","4145","32500"
"2019-04-18","32350","32450","32200","32200","2748","32200"
"2019-04-19","32400","32500","32250","32300","2411","32300"
"2019-04-22","32400","32500","32350","32450","1037","32450"
"2019-04-23","32450","32450","32350","32400","563","32400"
