1557 東証ETF SPDR S&P500  ETF（ETF）,,,,,
"2019-04-24","32600","32800","32600","32650","7389","32650"
"2019-04-25","32750","32800","32600","32750","3080","32750"
"2019-04-26","32600","32650","32450","32650","2102","32650"
"2019-05-07","32300","32350","32150","32250","7226","32250"
"2019-05-08","31800","31900","31700","31800","5241","31800"
"2019-05-09","31800","31800","31450","31550","2573","31550"
"2019-05-10","31550","31700","31250","31450","3230","31450"
"2019-05-13","31350","31400","31200","31250","2649","31250"
"2019-05-14","30650","30950","30500","30950","6902","30950"
"2019-05-15","31200","31250","31050","31250","1765","31250"
"2019-05-16","31300","31300","31050","31150","5092","31150"
"2019-05-17","31600","31700","31350","31450","4982","31450"
"2019-05-20","31600","31700","31550","31650","2400","31650"
"2019-05-21","31400","31500","31350","31500","1096","31500"
"2019-05-22","31750","31750","31600","31600","1076","31600"
"2019-05-23","31650","31650","31300","31400","1135","31400"
"2019-05-24","31100","31200","30950","31050","3219","31050"
"2019-05-27","31100","31150","31000","31100","584","31100"
"2019-05-28","31200","31200","31100","31200","330","31200"
"2019-05-29","30700","30800","30500","30650","4197","30650"
"2019-05-30","30500","30650","30450","30650","3546","30650"
"2019-05-31","30300","30400","30150","30250","5938","30250"
"2019-06-03","29700","29820","29520","29700","5426","29700"
"2019-06-04","29780","29800","29660","29770","6057","29770"
"2019-06-05","30450","30500","30350","30400","1254","30400"
"2019-06-06","30600","30700","30500","30500","2478","30500"
"2019-06-07","30950","30950","30800","30950","1636","30950"
"2019-06-10","31250","31400","31250","31400","2758","31400"
"2019-06-11","31300","31550","31300","31500","2812","31500"
"2019-06-12","31350","31400","31250","31300","1085","31300"
"2019-06-13","31300","31400","31050","31250","2228","31250"
"2019-06-14","31400","31450","31300","31450","1713","31450"
"2019-06-17","31450","31550","31400","31550","2301","31550"
"2019-06-18","31500","31500","31300","31400","4603","31400"
"2019-06-19","31650","31750","31600","31750","3232","31750"
"2019-06-20","31800","31800","31600","31750","4316","31750"
"2019-06-21","31700","31700","31500","31600","1769","31600"
"2019-06-24","31650","31650","31600","31650","906","31650"
"2019-06-25","31600","31650","31300","31400","1580","31400"
"2019-06-26","31300","31350","31150","31350","2552","31350"
"2019-06-27","31400","31550","31300","31500","853","31500"
"2019-06-28","31550","31550","31400","31500","947","31500"
"2019-07-01","32000","32200","31850","32200","9965","32200"
"2019-07-02","32200","32200","31950","32100","2068","32100"
"2019-07-03","32000","32000","31850","32000","1404","32000"
"2019-07-04","32150","32200","32100","32200","4678","32200"
"2019-07-05","32200","32300","32150","32300","2436","32300"
"2019-07-08","32200","32450","32150","32200","4369","32200"
"2019-07-09","32200","32300","32150","32250","3161","32250"
"2019-07-10","32350","32400","32300","32300","4586","32300"
"2019-07-11","32350","32400","32300","32350","2243","32350"
"2019-07-12","32500","32600","32450","32550","6414","32550"
"2019-07-16","32500","32550","32450","32550","5342","32550"
"2019-07-17","32450","32500","32350","32500","5824","32500"
"2019-07-18","32150","32150","31900","32000","4715","32000"
"2019-07-19","32100","32300","32100","32300","2729","32300"
"2019-07-22","32100","32100","31950","32100","6745","32100"
"2019-07-23","32150","32300","32100","32300","1056","32300"
"2019-07-24","32450","32500","32400","32450","1663","32450"
"2019-07-25","32600","32650","32550","32650","4016","32650"
"2019-07-26","32650","32700","32600","32700","2048","32700"
"2019-07-29","32750","32800","32650","32750","1550","32750"
"2019-07-30","32850","32900","32750","32800","3928","32800"
"2019-07-31","32700","32750","32650","32750","1210","32750"
"2019-08-01","32350","32600","32300","32550","3386","32550"
"2019-08-02","31650","31700","31400","31600","9752","31600"
"2019-08-05","31150","31200","30600","30750","7830","30750"
"2019-08-06","29520","30500","29310","30300","16998","30300"
"2019-08-07","30650","30700","30300","30450","6551","30450"
"2019-08-08","30650","30800","30500","30800","1490","30800"
"2019-08-09","31000","31100","30950","30950","2570","30950"
"2019-08-13","30850","30900","30350","30450","6575","30450"
"2019-08-14","31150","31250","31050","31200","4219","31200"
"2019-08-15","30200","30550","30150","30350","14801","30350"
"2019-08-16","30200","30450","30200","30450","3202","30450"
"2019-08-19","30850","30950","30850","30900","2384","30900"
"2019-08-20","31100","31200","31050","31200","1901","31200"
"2019-08-21","30850","31000","30800","31000","2267","31000"
"2019-08-22","31250","31300","31100","31100","3137","31100"
"2019-08-23","31100","31300","31100","31300","1854","31300"
"2019-08-26","29710","30050","29660","29860","24140","29860"
"2019-08-27","30400","30600","30400","30400","4874","30400"
"2019-08-28","30400","30450","30300","30450","1483","30450"
"2019-08-29","30600","30650","30450","30500","2796","30500"
"2019-08-30","31050","31250","31050","31200","8623","31200"
"2019-09-02","30900","31000","30850","30950","2422","30950"
"2019-09-03","30800","31050","30800","30900","1247","30900"
"2019-09-04","30800","31100","30750","31050","1710","31050"
"2019-09-05","31250","31750","31250","31650","7705","31650"
"2019-09-06","31800","31950","31800","31900","6507","31900"
"2019-09-09","31950","32000","31850","31950","4651","31950"
"2019-09-10","32050","32100","31900","32000","2914","32000"
"2019-09-11","32050","32200","32000","32200","4594","32200"
"2019-09-12","32600","32650","32500","32550","7330","32550"
"2019-09-13","32600","32700","32550","32700","6287","32700"
"2019-09-17","32450","32550","32400","32400","2209","32400"
"2019-09-18","32500","32550","32450","32500","7012","32500"
"2019-09-19","32500","32550","32250","32300","14290","32300"
"2019-09-20","32450","32450","32300","32300","1050","32300"
"2019-09-24","32250","32300","32150","32250","2314","32250"
"2019-09-25","31800","31900","31650","31850","3608","31850"
"2019-09-26","32000","32050","31950","31950","1403","31950"
"2019-09-27","32000","32050","31900","32050","1636","32050"
"2019-09-30","31950","32050","31950","32000","1675","32000"
"2019-10-01","32150","32300","32100","32250","2213","32250"
"2019-10-02","31650","31700","31600","31700","4300","31700"
"2019-10-03","31000","31000","30750","30900","10217","30900"
"2019-10-04","31050","31150","30950","31000","2144","31000"
"2019-10-07","31350","31400","31250","31350","2421","31350"
"2019-10-08","31400","31650","31400","31600","3869","31600"
"2019-10-09","30900","31100","30850","30950","6828","30950"
"2019-10-10","31000","31400","30950","31250","7575","31250"
"2019-10-11","31700","31850","31650","31800","7047","31800"
"2019-10-15","32150","32200","32050","32200","8314","32200"
"2019-10-16","32500","32550","32350","32350","5636","32350"
"2019-10-17","32350","32500","32350","32400","7167","32400"
"2019-10-18","32400","32550","32350","32400","3468","32400"
"2019-10-21","32450","32450","32300","32450","4318","32450"
"2019-10-23","32400","32400","32200","32400","4060","32400"
"2019-10-24","32550","32600","32550","32600","3087","32600"
"2019-10-25","32500","32650","32500","32650","2547","32650"
"2019-10-28","32850","32900","32800","32850","4373","32850"
"2019-10-29","33000","33100","33000","33100","3895","33100"
"2019-10-30","33000","33050","32950","32950","4505","32950"
"2019-10-31","33100","33200","33050","33050","3596","33050"
"2019-11-01","32750","32900","32750","32900","1588","32900"
"2019-11-05","33450","33500","33400","33500","5322","33500"
"2019-11-06","33550","33550","33400","33450","2423","33450"
"2019-11-07","33450","33500","33350","33350","3539","33350"
"2019-11-08","33650","33800","33550","33600","6691","33600"
"2019-11-11","33650","33700","33550","33550","3074","33550"
"2019-11-12","33550","33750","33550","33750","1886","33750"
"2019-11-13","33700","33700","33550","33650","3625","33650"
"2019-11-14","33600","33750","33550","33600","3448","33600"
"2019-11-15","33650","33750","33600","33750","3305","33750"
"2019-11-18","33800","33950","33800","33900","2203","33900"
"2019-11-19","33950","33950","33800","33950","2490","33950"
"2019-11-20","33800","33850","33700","33850","3695","33850"
"2019-11-21","33700","33750","33450","33650","4791","33650"
"2019-11-22","33700","33800","33650","33750","879","33750"
"2019-11-25","33850","34000","33850","34000","2909","34000"
"2019-11-26","34100","34350","34100","34200","6881","34200"
"2019-11-27","34250","34350","34250","34350","6036","34350"
"2019-11-28","34450","34450","34350","34450","2408","34450"
"2019-11-29","34500","34550","34400","34400","2573","34400"
"2019-12-02","34450","34650","34450","34650","6290","34650"
"2019-12-03","34000","34150","33950","34150","6616","34150"
"2019-12-04","33700","33700","33550","33700","7108","33700"
"2019-12-05","33950","34000","33850","33850","3650","33850"
"2019-12-06","33950","34050","33950","33950","2299","33950"
"2019-12-09","34200","34200","34100","34100","7701","34100"
"2019-12-10","34100","34150","34050","34100","1699","34100"
"2019-12-11","34150","34150","34050","34150","1825","34150"
"2019-12-12","34150","34200","34100","34150","3990","34150"
"2019-12-13","34800","34900","34750","34900","6773","34900"
"2019-12-16","34800","34850","34750","34850","2674","34850"
"2019-12-17","34950","35050","34950","35000","3038","35000"
"2019-12-18","35050","35050","34950","34950","2505","34950"
"2019-12-19","35050","35100","35050","35050","2212","35050"
"2019-12-20","35100","35100","34950","35050","2203","35050"
"2019-12-23","35150","35250","35150","35150","3509","35150"
"2019-12-24","35200","35200","35150","35150","2432","35150"
"2019-12-25","35150","35200","35050","35050","2052","35050"
"2019-12-26","35150","35250","35150","35200","2276","35200"
"2019-12-27","35450","35500","35350","35500","2787","35500"
"2019-12-30","35400","35450","35250","35250","3542","35250"
