データ日付,終値,始値,高値,安値
"2018/01/05","23714.53","23643.00","23730.47","23520.52"
"2018/01/09","23849.99","23948.97","23952.61","23789.03"
"2018/01/10","23788.20","23832.81","23864.76","23755.45"
"2018/01/11","23710.43","23656.39","23734.97","23601.84"
"2018/01/12","23653.82","23719.66","23743.05","23588.07"
"2018/01/15","23714.88","23827.98","23833.27","23685.02"
"2018/01/16","23951.81","23721.17","23962.07","23701.83"
"2018/01/17","23868.34","23783.42","23891.63","23739.17"
"2018/01/18","23763.37","24078.93","24084.42","23699.47"
"2018/01/19","23808.06","23854.11","23872.69","23735.61"
"2018/01/22","23816.33","23797.84","23816.33","23697.81"
"2018/01/23","24124.15","23924.40","24129.34","23916.02"
"2018/01/24","23940.78","24026.43","24072.77","23917.14"
"2018/01/25","23669.49","23750.65","23828.40","23649.03"
"2018/01/26","23631.88","23757.34","23797.96","23592.28"
"2018/01/29","23629.34","23707.14","23787.23","23580.17"
"2018/01/30","23291.97","23559.33","23581.98","23233.37"
"2018/01/31","23098.29","23205.23","23375.38","23092.85"
"2018/02/01","23486.11","23276.10","23492.77","23211.12"
"2018/02/02","23274.53","23361.67","23367.96","23122.45"
"2018/02/05","22682.08","22921.16","22967.69","22659.43"
"2018/02/06","21610.24","22267.00","22277.45","21078.71"
"2018/02/07","21645.37","22001.29","22353.87","21627.13"
"2018/02/08","21890.86","21721.57","21977.03","21649.70"
"2018/02/09","21382.62","21507.74","21510.30","21119.01"
"2018/02/13","21244.68","21633.34","21679.20","21211.53"
"2018/02/14","21154.17","21251.24","21371.01","20950.15"
"2018/02/15","21464.98","21384.10","21578.99","21308.92"
"2018/02/16","21720.25","21555.99","21866.37","21499.88"
"2018/02/19","22149.21","21903.66","22152.85","21858.33"
"2018/02/20","21925.10","22054.32","22063.87","21831.45"
"2018/02/21","21970.81","21942.42","22130.58","21836.73"
"2018/02/22","21736.44","21789.88","21799.40","21626.85"
"2018/02/23","21892.78","21789.72","21903.39","21741.63"
"2018/02/26","22153.63","22134.64","22226.53","22040.87"
"2018/02/27","22389.86","22391.67","22502.05","22325.07"
"2018/02/28","22068.24","22292.53","22380.28","22068.24"
"2018/03/01","21724.47","21901.13","21901.13","21645.22"
"2018/03/02","21181.64","21339.98","21366.09","21088.96"
"2018/03/05","21042.09","21047.81","21164.38","20937.26"
"2018/03/06","21417.76","21390.20","21551.14","21381.42"
"2018/03/07","21252.72","21261.96","21484.08","21201.94"
"2018/03/08","21368.07","21488.16","21488.16","21299.40"
"2018/03/09","21469.20","21594.22","21884.45","21357.55"
"2018/03/12","21824.03","21826.10","21971.16","21689.97"
"2018/03/13","21968.10","21742.45","21968.10","21700.78"
"2018/03/14","21777.29","21764.99","21881.09","21684.02"
"2018/03/15","21803.95","21704.14","21825.97","21555.49"
"2018/03/16","21676.51","21876.53","21879.28","21632.85"
"2018/03/19","21480.90","21537.90","21659.04","21366.88"
"2018/03/20","21380.97","21297.98","21384.86","21223.97"
"2018/03/22","21591.99","21352.16","21592.00","21349.71"
"2018/03/23","20617.86","21188.80","21188.80","20559.61"
"2018/03/26","20766.10","20423.37","20766.10","20347.49"
"2018/03/27","21317.32","20958.90","21317.32","20943.31"
"2018/03/28","21031.31","20893.05","21031.31","20776.82"
"2018/03/29","21159.08","21250.96","21298.57","20996.22"
"2018/03/30","21454.30","21392.42","21512.80","21311.50"
"2018/04/02","21388.58","21441.57","21597.47","21388.58"
"2018/04/03","21292.29","21115.48","21333.50","21056.02"
"2018/04/04","21319.55","21415.85","21415.85","21238.18"
"2018/04/05","21645.42","21541.18","21737.66","21462.10"
"2018/04/06","21567.52","21633.73","21742.84","21550.42"
"2018/04/09","21678.26","21534.33","21737.09","21517.77"
"2018/04/10","21794.32","21599.67","21933.99","21542.37"
"2018/04/11","21687.10","21819.09","21837.36","21687.10"
"2018/04/12","21660.28","21657.87","21719.43","21591.39"
"2018/04/13","21778.74","21801.41","21917.35","21746.69"
"2018/04/16","21835.53","21843.55","21879.69","21775.61"
"2018/04/17","21847.59","21801.83","21889.89","21772.42"
"2018/04/18","22158.20","21929.01","22194.11","21914.96"
"2018/04/19","22191.18","22231.86","22360.65","22176.86"
"2018/04/20","22162.24","22148.22","22261.35","22076.63"
"2018/04/23","22088.04","22157.88","22204.86","22065.52"
"2018/04/24","22278.12","22228.82","22304.69","22149.59"
"2018/04/25","22215.32","22118.62","22228.78","22080.76"
"2018/04/26","22319.61","22278.77","22381.66","22265.20"
"2018/04/27","22467.87","22466.66","22495.56","22357.53"
"2018/05/01","22508.03","22453.42","22519.45","22411.43"
"2018/05/02","22472.78","22568.19","22568.19","22426.55"
"2018/05/07","22467.16","22513.22","22513.48","22350.91"
"2018/05/08","22508.69","22440.65","22566.68","22423.23"
"2018/05/09","22408.88","22463.01","22478.64","22364.75"
"2018/05/10","22497.18","22482.51","22530.64","22418.75"
"2018/05/11","22758.48","22573.95","22769.16","22545.47"
"2018/05/14","22865.86","22705.30","22894.76","22683.64"
